ActualVehicleSpeed_kph;MotorCommand_value;BatteryPack01Voltage_v;BatteryPack02Voltage_v;BatteryPack01Cell001_temperature;BatteryPack02Cell001_temperature;BMSRelay01Status
3.126852589;88.48605548;403.7250268;363.5148006;19.99975869;27.87125691;1.00
7.601840598;109.7401591;398.5491251;366.7980745;20.00089875;27.87340611;1.00
12.53949354;115.4737935;392.7410297;367.6968353;20.00965662;27.87934885;1.00
17.4959139;115.1016207;387.2527066;365.6991098;20.03234578;27.88911279;1.00
22.47262231;112.435006;382.1436989;365.7861881;20.07710482;27.89524524;1.00
26.95694389;97.78434951;381.1785368;366.2584013;20.13404563;27.89249104;1.00
30.69528137;83.68584119;381.9649768;366.8457036;20.18723499;27.88919448;1.00
34.15385403;82.57728557;379.3955609;367.6642476;20.24646779;27.88596441;1.00
37.61474508;81.47186154;376.8567714;370.8431121;20.32328692;27.88330612;1.00
40.63664535;67.15526315;380.3513681;369.2559744;20.39360038;27.89167755;1.00
42.92263557;50.57508088;385.9209271;366.9283879;20.43868046;27.95305489;1.00
44.509027;39.5298927;389.8758967;367.2140335;20.46198722;28.07939866;1.00
46.03150058;43.98730474;387.3210919;370.2971602;20.486126;28.2104658;1.00
47.62832578;43.35691579;386.9091538;368.8728772;20.51638724;28.31708327;1.00
48.87436625;34.85897725;390.3433745;369.4307981;20.53716874;28.35578669;1.00
50.08738065;38.58504743;388.1504631;372.7872863;20.55916743;28.36906896;1.00
51.24140185;36.11589474;388.9111366;374.2890864;20.58151127;28.38106647;1.00
52.34854662;36.50857469;388.3112708;377.8815456;20.60460046;28.41440139;1.00
53.34501834;34.07684232;389.1761904;379.3278748;20.62593842;28.48261418;1.00
54.29365025;34.4568256;388.6496321;380.5919704;20.64770739;28.59151174;1.00
55.14617272;31.25077322;390.0194291;384.2782248;20.66800932;28.7124487;1.00
55.73248819;25.13074311;393.0100003;388.3535171;20.68111471;28.8212322;1.00
56.07095979;24.07595973;393.4713321;391.788989;20.68864535;28.93053443;1.00
56.81072467;36.08821479;386.8651019;363.5148006;20.71050753;29.00422701;1.00
57.36542754;23.12429782;393.6289763;366.7980745;20.72713048;29.03617956;1.00
57.39885373;12.27254082;399.2284614;367.6968353;20.7310725;29.05183112;1.00
56.81132972;-0.094691077;405.3601403;365.6991098;20.73069942;29.06379814;1.00
56.10573948;3.528222559;403.6940247;365.7861881;20.73023088;29.09008744;1.00
55.42010455;6.09018891;402.5102105;366.2584013;20.72960645;29.14369411;1.00
55.28465054;23.31603976;394.0292459;366.8457036;20.73257055;29.20195377;1.00
55.52780485;27.68565262;391.706776;367.6642476;20.74277564;29.25687974;1.00
55.91680177;32.73248225;388.9213056;370.8431121;20.75822939;29.32092406;1.00
56.69673932;42.29701478;383.3887095;369.2559744;20.79175135;29.40067395;1.00
57.453576;35.75607984;386.6741801;366.9283879;20.8263271;29.51057463;1.00
57.76773567;27.3670433;391.1221137;367.2140335;33;29.67240898;1.00
58.12728911;33.76430312;387.4909584;370.2971602;33;29.81020801;1.00
58.49144607;31.33498334;388.6904182;368.8728772;34;29.86488939;1.00
58.80698045;31.49641539;388.4748549;369.4307981;35;29.87413447;1.00
59.0224621;28.50853746;390.0443976;372.7872863;36;29.87282249;1.00
59.07429205;25.74005567;391.5351816;374.2890864;37;29.87388273;1.00
59.06671997;26.1419449;391.2973721;377.8815456;38;29.8786127;1.00
59.05768558;26.62474425;391.013326;379.3278748;39;29.91860134;1.00
59.04873903;27.10250161;390.7301505;380.5919704;40;30.01477854;1.00
