t	ActualVehicleSpeed_kph	BatteryPack01ShuntPlusCurrent_a	BatteryPack01ShuntPlusCurrentQualifier_enum	BatteryPack01ShuntMinusCurrent_a	BatteryPack01ShuntMinusCurrentQualifier_enum	BMSRelay01Status_enum	BMSRelay01StatusQualifier_enum	BatteryPack01VoltagePlus_v	BatteryPack01VoltageMinus_v	BatteryPack01Cell001temperature_c
1	1.14	301.04	0.0	303.31	0.0	0.0	0.0	200.61	196.39	12.99
2	2.2	310.67	0.0	308.86	0.0	0.0	0.0	201.13	199.56	14.13
3	3.42	307.84	0.0	312.13	0.0	0.0	0.0	196.51	200.63	13.12
4	4.52	304.27	0.0	302.6	0.0	0.0	0.0	194.01	194.1	13
5	5.76	312.69	0.0	304.99	0.0	0.0	0.0	193.2	192.65	14.32
6	6.64	302.8	0.0	305.98	0.0	0.0	0.0	199.67	193.91	11.15
7	7.85	300.58	0.0	307.41	0.0	0.0	0.0	193.51	197.31	13.55
8	8.91	313.99	0.0	307.54	0.0	0.0	0.0	192.8	201.11	14.72
9	9.99	307.04	0.0	303.36	0.0	0.0	0.0	197.73	195.59	10.7
10	11.27	306.13	0.0	301.81	0.0	0.0	0.0	197.99	196.82	12.41
11	12.24	310.34	0.0	305.2	0.0	0.0	0.0	195.24	198.85	10.85
12	13.69	309.79	0.0	312.15	0.0	0.0	0.0	193.03	194.45	12.23
13	14.33	304.01	0.0	301.47	0.0	0.0	0.0	200.95	201.28	12.12
14	15.42	313.11	0.0	308.27	0.0	0.0	0.0	201.31	198.16	10.74
15	17.16	301.97	0.0	312.97	0.0	0.0	0.0	200.29	195.72	10.42
16	18.4	304.36	0.0	304.73	0.0	0.0	0.0	194.98	194.92	10.37
17	19.49	310.86	0.0	309.48	0.0	0.0	0.0	193.6	197.61	12.78
18	20.08	314.73	0.0	306.7	0.0	0.0	0.0	197.64	193.14	10.41
19	21.5	313.65	0.0	300.53	0.0	0.0	0.0	192.37	193.85	12.31
20	22.46	304.18	0.0	309.29	0.0	0.0	0.0	197.22	192.74	10.39
21	23.72	314.08	0.0	300.58	0.0	0.0	0.0	199.29	200.41	11.75
22	25.1	314.73	0.0	307.77	0.0	0.0	0.0	197.99	200.37	14.25
23	26.24	300.34	0.0	307.36	0.0	0.0	0.0	199.53	194.83	12.96
24	27.23	302.01	0.0	312.06	0.0	0.0	0.0	194.45	195.03	11.68
25	28.01	300.95	0.0	309.45	0.0	0.0	0.0	193.19	196.46	14.75
26	29.28	305.4	0.0	304.36	0.0	0.0	0.0	196.92	192.34	14.98
27	30.3	301.87	0.0	303.09	0.0	0.0	0.0	194.81	196.33	14.26
